Dimension 1,Dimension 2,prediction
59.33419,45.35153,358
-11.43285,-0.29170698,425
17.760614,142.27664,-1
-30.116625,45.557198,277
84.56881,21.616837,-1
-46.30198,-57.888897,453
-86.02038,-37.797447,310
-168.60327,-22.398666,24
58.95315,-140.95685,-1
73.03903,-138.17117,170
73.24301,-136.10094,170
-58.25584,-46.696568,449
-109.031906,-18.401556,98
2.767454,27.079885,-1
-134.06488,58.768147,177
-161.89046,-40.278545,-1
-144.30727,38.429745,176
-19.610651,105.86438,185
-49.781986,153.7129,81
98.1163,-65.681114,299
-55.06936,136.93242,87
-46.145107,-149.0367,76
-43.551067,-148.98259,76
-35.62765,-114.35513,-1
-178.01305,61.89113,-1
-88.082146,18.301634,132
-128.4116,-21.553991,31
77.30883,-81.686676,-1
41.562737,52.210957,389
35.103653,24.727865,-1
-5.1482644,-150.2278,135
112.13212,-12.225763,401
12.333022,31.958523,443
-133.79533,-23.42111,31
-93.552956,-84.88493,-1
-108.86333,-91.07894,201
-53.929382,50.190365,253
-34.959957,-16.218042,237
80.994675,130.92342,221
106.75823,110.84422,229
90.56411,36.66415,-1
166.9432,-35.08259,248
116.66427,-17.504322,402
90.42808,-41.274433,246
-153.02626,89.80495,126
-159.39824,13.370917,162
-146.9832,106.29441,11
51.754074,-4.0447707,472
-57.448647,119.63478,-1
-45.437283,104.95089,-1
64.691666,36.771416,358
-123.55901,18.424812,173
-85.28397,-52.554478,448
-108.20639,-78.747955,-1
138.18602,0.80862564,-1
-91.62173,-21.63322,215
7.644898,57.125492,320
101.737724,-39.558865,-1
15.532368,62.7491,-1
-159.81386,46.75882,165
-47.203053,144.7758,85
125.09707,73.533844,64
-108.650375,60.034992,-1
-50.98936,-33.42548,449
-153.0053,13.558622,162
-106.86047,86.35388,-1
-75.35841,-109.05229,-1
-75.011475,-108.55048,-1
-136.50224,74.642845,168
-8.168621,37.866863,266
-38.93711,-18.27608,237
-89.48304,146.9265,-1
144.8866,-71.80776,241
134.68813,3.7293057,249
-132.71684,44.894413,-1
86.69975,52.84419,369
-18.335125,45.301792,266
140.99603,23.209806,27
69.49391,6.7620335,-1
27.948402,-63.440804,377
68.921585,90.24356,360
-31.670387,135.25868,-1
-3.6206856,115.40247,-1
27.626749,128.99695,328
162.28325,31.492086,46
53.21434,-12.667431,473
40.700043,73.880424,-1
-112.954445,52.810028,131
-38.934124,-17.675783,237
5.195779,36.015343,337
46.904675,16.264534,-1
39.3761,67.22594,308
182.89867,9.593765,42
-125.72196,108.39512,18
29.129618,98.51389,323
30.86525,97.97693,323
-40.316135,-108.978424,313
-16.005075,-15.007886,367
-161.708,19.28245,162
-82.99188,-60.739643,-1
28.836634,116.28347,319
-72.55711,-8.851787,284
7.4179,177.68071,1
-145.6734,62.05998,-1
-168.85594,40.775047,148
107.06853,79.58819,195
13.957879,7.2701216,440
-86.64331,-100.87554,409
-86.22025,-101.92036,409
-78.80388,54.581486,239
174.48167,-8.345365,29
173.85481,-8.3938,29
87.91992,-110.77088,142
-86.53156,156.61566,71
82.186615,126.773994,-1
-20.714878,21.635468,271
-40.513428,8.259878,257
-25.80278,41.809414,-1
-77.922935,62.309544,240
4.894999,4.336911,-1
-132.62872,-27.205671,31
-138.068,56.578053,182
-63.07393,133.75131,103
-51.29905,39.090145,183
146.0912,-78.97251,241
166.0838,3.3820176,28
46.33944,-47.27734,461
122.66222,-76.496346,241
-147.1921,62.50408,-1
28.97331,-26.642035,468
29.08166,-27.68345,468
50.296795,-27.478382,279
131.87328,-75.30712,241
132.22273,-75.46971,241
58.341354,-139.31155,-1
-44.829308,85.80854,130
-36.165165,-174.97333,2
54.72092,-11.518323,473
26.503128,111.84288,319
39.21084,43.2351,-1
133.26685,67.87765,68
95.28201,123.84111,-1
-135.59612,83.64399,167
47.65696,96.672554,-1
28.3403,69.770485,326
133.05458,87.91453,61
133.71881,88.51998,61
-66.09964,-16.152014,284
-117.63863,60.441475,-1
19.881706,95.79095,329
-179.60541,56.997204,63
44.669014,-136.44202,-1
-139.73239,34.857544,-1
83.98877,-110.865685,142
23.584314,-127.18187,-1
-125.402954,49.167038,177
-102.00005,-16.730442,99
29.351536,17.656607,452
165.99846,35.947296,47
-92.34582,141.88501,106
-103.442726,-2.478681,128
144.11429,-50.17546,112
-54.912537,170.86217,33
98.02063,-123.86081,22
128.44017,-3.8582916,249
54.551987,52.67356,-1
-106.72543,-2.6922352,128
90.67207,110.00371,-1
32.851273,146.12228,316
-30.495436,51.952778,-1
-21.415514,45.44991,266
-160.23631,33.13436,149
-108.62032,-81.712395,199
-107.569176,77.434105,150
-2.3391736,-78.813065,352
-168.40834,49.88993,136
-29.582521,-65.83846,450
-154.05771,44.680096,-1
-7.3288083,-167.38673,-1
-45.997505,-146.72583,76
-18.721647,-96.75074,355
126.34444,18.842634,-1
4.0359483,-36.121826,388
-118.41877,-98.50471,17
1.1305056,-23.94811,426
116.971634,-36.06253,387
78.84864,-119.20665,-1
55.775227,-39.63739,439
