Dimension 1,Dimension 2,prediction
-40.178806,-71.11559,350
144.17946,-72.38213,351
145.0452,-71.69798,351
-59.01147,102.115234,-1
84.6936,54.310993,-1
-0.99217284,98.96175,352
3.7876236,108.466835,353
41.45055,-96.50486,354
37.882412,-99.520706,3959
32.165188,55.75055,355
-55.753624,-35.10774,356
103.96185,66.91396,357
-26.123262,-20.288391,-1
69.556786,-103.02066,358
-12.735862,16.390942,359
-82.80558,132.82947,-1
11.461187,43.905796,1494
-54.116894,-15.967543,3379
-72.34186,-14.117843,360
23.748856,43.213814,361
-30.71347,-60.250946,2634
31.177216,-2.26862,-1
29.399492,48.303104,362
81.0212,119.66832,363
109.30372,-67.179375,-1
126.772156,12.892191,364
31.079071,87.98479,-1
2.220729,47.87524,365
34.172794,28.04962,-1
77.49567,-62.699146,-1
90.405136,-3.541474,-1
109.534515,60.33981,366
102.163124,27.843029,-1
109.656456,60.364254,366
57.30327,53.581127,-1
153.56851,88.400024,367
114.66598,9.466384,368
75.46982,-10.290326,369
75.75983,-10.567426,369
85.90965,102.15376,-1
113.88675,-106.2999,-1
42.136982,-13.301207,370
75.3018,52.090633,371
47.99777,56.395397,-1
65.59131,-54.269638,-1
20.45305,107.77604,372
-62.10557,97.52254,373
-115.13333,-61.275517,374
-95.60039,133.62074,375
-95.39649,134.05196,375
-19.822803,108.62384,376
-21.111015,108.76832,43
27.336933,15.791238,377
31.95618,8.806821,-1
-55.563953,70.779434,378
-27.61759,-26.751345,-1
-119.79733,80.14588,379
61.329765,42.77153,380
-6.870301,189.32037,-1
107.187454,128.96452,3181
2.9533162,21.516111,381
93.380356,138.04552,382
-104.0228,75.326035,383
-102.99479,75.04951,-1
50.410156,-27.877098,-1
125.73703,-19.221504,384
126.67837,-18.251368,3908
127.923,-72.30999,385
75.596016,8.054977,386
-54.495262,22.77467,387
-136.51198,12.157942,388
71.62908,-38.31611,1276
-76.996284,-131.49516,-1
-120.0744,35.723392,389
15.652454,-26.458368,390
-74.78039,-124.00824,-1
12.718121,-30.785383,203
99.83064,107.876595,391
99.81107,107.894585,391
26.612394,54.19356,3363
-114.07816,82.58897,-1
161.53992,-23.021133,392
39.369637,131.30074,393
-172.4159,-47.2412,394
-28.527454,70.595055,-1
-81.96386,108.37037,395
-46.06042,-109.99391,-1
-42.808674,-107.031494,396
-43.851555,-105.87334,-1
157.87794,11.754452,397
25.11129,55.43228,398
-146.62227,89.948814,399
59.79891,-123.42952,400
-7.499024,-97.27534,401
-76.09,-97.71553,-1
-134.70142,-3.8504527,402
-169.9621,-40.577076,584
-151.67776,28.160803,403
27.05011,-68.75585,404
-38.43961,-49.755653,405
38.746784,-81.664566,576
-37.39083,49.938248,-1
79.41643,17.194403,406
79.286545,17.570358,406
-167.53067,43.201885,3987
-42.912712,-78.95817,-1
-48.12323,100.45579,407
3.570109,-105.73723,408
-59.30488,8.473196,1796
-127.92011,106.51352,409
-106.85071,71.71448,410
-65.54816,-90.84537,411
-63.923546,-90.76889,-1
56.44261,-136.81038,412
-138.54433,-35.470776,-1
56.45127,-137.88655,412
-9.320902,-39.08625,413
-50.4343,-4.50519,414
-33.05698,48.411213,-1
14.5782995,38.73509,415
15.562212,38.518604,416
-87.76272,-56.249516,417
6.5712643,-19.651741,2593
140.92682,21.52101,32
-5.3092217,-20.08612,418
84.1974,0.7996772,419
-54.61701,36.55674,3275
-43.3571,-34.94795,420
-43.351177,-34.998962,420
56.60935,-115.55328,421
29.258793,32.61553,-1
11.728552,-70.80931,-1
2.6154916,-62.950516,422
74.98922,-71.83439,-1
-10.368788,23.368526,-1
20.58876,61.743404,423
20.590672,61.79332,423
83.961685,8.760881,-1
29.763393,-46.351383,424
29.957548,-46.605434,424
-26.475882,65.30202,-1
22.56673,-128.42451,425
30.639484,78.104324,-1
-31.955814,-121.73124,426
-0.30713433,40.154846,427
93.608116,2.6268601,428
26.055624,-28.209454,-1
14.564115,-72.50555,429
-56.809563,47.479984,-1
-187.26846,-41.43951,430
-188.7626,-40.48011,-1
-187.31825,-41.307804,430
-91.15169,135.87263,431
-13.901534,40.23662,3815
74.49165,89.26709,432
60.278435,-58.447994,433
107.609276,-0.15863553,434
38.56247,22.857689,-1
149.72943,78.488686,435
-55.177387,-32.6419,-1
162.15729,38.17202,436
-163.8955,-6.585151,437
-163.95264,-6.445616,437
60.672894,103.40835,438
67.633224,-65.62844,439
39.406704,116.04041,-1
